LGA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
LGA10850,331,0,0,0,0,0,335,6,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,7,0,0,0,0,0,0,0,340,3,0,0,3,0,343,372,0,0,0,0,0,372,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,372,6,0,0,6,3,379,213,3,0,0,3,0,217,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,213,3,0,0,6,0,222,137,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,144,175,0,0,0
LGA10900,2919,101,0,0,100,4,3026,131,154,7,0,166,0,289,0,9,0,0,9,0,5,0,0,0,0,0,0,0,127,165,7,0,167,0,300,4,3,0,0,3,0,9,3055,267,6,0,273,8,3336,3311,94,0,0,93,8,3414,130,142,3,0,145,0,280,0,8,3,0,9,0,15,0,0,0,0,0,0,0,131,149,11,0,156,0,294,4,0,0,0,0,0,11,3455,236,11,0,250,9,3710,1948,44,0,3,43,4,1997,58,75,0,0,74,0,137,0,7,0,0,7,0,7,0,0,0,0,0,0,0,58,82,0,0,89,0,147,3,3,0,0,3,0,7,2012,130,0,3,136,4,2151,1220,32,0,0,32,5,1252,32,51,0,0,51,0,87,0,9,0,0,4,0,4,0,0,0,0,0,0,0,32,58,0,0,61,0,96,0,0,0,0,0,0,0,1252,90,0,0,90,5,1346,1677,35,3,0
LGA10950,112,3,0,0,3,0,117,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,4,0,0,0,0,0,3,3,118,9,0,0,9,3,127,107,3,0,0,3,0,109,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,107,8,0,0,8,0,112,72,0,0,0,0,0,73,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,71,3,0,0,3,0,78,29,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,28,45,0,0,0
LGA11100,1004,78,0,0,77,0,1085,182,974,26,3,1008,0,1183,5,73,18,0,90,0,96,0,3,0,0,3,0,7,182,1045,47,7,1106,0,1286,0,0,0,0,3,0,4,1193,1127,47,11,1183,3,2378,922,80,0,0,81,0,1002,130,784,27,3,814,0,948,4,54,25,0,79,0,88,3,5,0,0,7,0,7,136,845,57,4,903,0,1045,3,3,0,0,3,0,6,1057,928,59,9,990,5,2055,509,54,0,0,54,0,570,64,379,14,0,392,0,452,0,33,18,0,55,0,56,0,3,0,3,3,0,10,66,417,28,4,451,0,515,0,0,0,0,0,0,0,577,475,28,4,504,3,1083,294,24,0,0,24,0,318,39,207,5,0,211,0,252,0,26,11,0,38,0,37,0,0,0,0,4,0,4,41,234,15,3,250,0,292,0,0,0,0,0,0,0,333,255,15,3,274,0,605,355,27,0,0
LGA11150,110,3,0,0,3,0,118,4,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,7,0,0,0,0,0,0,0,115,6,0,0,6,0,121,110,0,0,0,0,0,111,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,114,0,0,0,0,0,116,46,0,0,0,0,0,46,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,47,0,0,0,0,0,48,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,27,0,0,0
LGA11200,51,0,0,0,0,0,51,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,48,0,0,0,0,0,54,66,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,68,41,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41,9,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,16,13,0,0,0
LGA11250,473,3,0,0,3,0,474,20,17,0,0,17,0,44,0,3,0,0,3,0,3,0,0,0,0,0,0,0,20,25,0,0,25,0,42,3,0,0,0,0,3,3,492,27,0,0,27,5,525,538,0,0,0,0,0,538,9,16,0,0,16,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,16,0,26,0,0,0,0,0,0,3,551,17,0,0,17,0,572,291,3,0,0,3,0,295,3,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,10,0,0,0,0,0,0,0,297,10,0,0,10,3,308,186,3,0,0,3,0,197,3,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,4,0,0,0,0,0,0,0,192,13,0,0,13,0,206,226,0,0,0
LGA11300,294,50,3,0,52,0,340,105,751,45,3,797,0,902,0,66,40,0,106,0,111,0,4,0,0,4,0,5,108,822,83,3,911,0,1018,0,0,0,0,0,0,0,396,871,89,3,966,0,1358,382,59,0,0,55,3,440,96,574,42,5,620,0,722,3,68,46,0,106,0,108,0,3,0,0,8,0,8,104,645,85,7,732,0,838,0,3,0,0,3,0,3,482,705,83,7,797,3,1283,241,27,0,0,27,0,271,43,304,18,4,325,0,371,3,29,36,0,66,0,70,0,0,0,0,0,0,3,46,336,52,3,399,0,439,0,4,0,0,4,0,4,285,369,52,3,424,0,715,121,15,0,0,15,0,129,31,212,10,3,226,0,256,4,26,24,0,53,0,54,0,0,0,0,0,0,0,33,242,37,4,278,0,309,0,0,0,0,0,0,0,148,250,37,4,293,0,446,186,18,0,0
LGA11350,899,37,0,0,37,7,936,61,66,4,0,69,0,129,0,0,6,0,10,0,10,0,3,0,0,3,0,3,61,70,5,0,80,0,137,7,0,0,0,0,0,10,967,101,5,0,113,8,1089,998,27,0,0,27,4,1029,63,69,0,0,73,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,76,0,0,74,0,142,4,0,0,0,0,0,6,1071,101,0,0,101,4,1173,585,13,0,0,13,0,599,26,37,0,0,43,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,37,0,0,39,0,73,3,0,0,0,0,0,3,618,54,0,0,52,0,678,333,12,0,0,12,0,340,10,26,0,0,26,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,0,0,27,0,36,0,0,0,0,0,0,0,342,35,0,0,36,0,380,413,11,0,0
LGA11400,617,0,0,0,0,3,623,7,15,0,0,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,14,0,17,0,0,0,0,0,0,0,622,13,0,0,14,3,645,735,3,0,0,3,0,740,17,13,0,0,13,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,18,0,29,0,0,0,0,0,0,3,750,16,0,0,19,0,774,432,3,0,0,3,0,439,8,6,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,7,0,12,3,0,0,0,0,0,4,439,10,0,0,10,0,454,269,4,0,0,4,0,276,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,276,4,0,0,4,4,280,351,3,0,0
LGA11450,4010,195,3,0,201,10,4221,307,766,18,5,794,3,1099,3,48,14,3,67,0,64,0,6,0,3,6,0,6,308,822,36,9,859,3,1171,3,0,0,0,0,3,7,4325,1013,36,6,1059,13,5396,3804,158,3,0,165,0,3974,205,704,17,8,726,0,933,4,30,18,3,45,0,49,0,5,0,3,6,0,6,207,735,38,9,781,0,986,5,0,5,0,3,9,19,4018,896,44,11,945,10,4973,2106,78,0,0,76,0,2181,95,365,17,3,387,0,477,0,15,22,0,35,0,35,0,3,0,0,3,0,3,95,386,31,4,422,0,516,3,0,0,0,0,6,8,2205,465,34,6,507,6,2708,1336,60,0,0,64,4,1401,64,234,10,0,246,0,313,0,10,8,0,12,0,12,0,0,0,0,0,0,5,64,246,20,0,268,0,329,0,0,0,0,0,0,5,1399,309,21,0,327,4,1734,1554,60,0,0
LGA11500,3808,325,3,3,337,3,4146,401,3278,128,26,3434,0,3838,6,279,72,0,350,0,359,4,21,0,10,31,0,36,407,3579,208,37,3823,0,4235,4,4,0,0,4,6,18,4220,3911,212,35,4161,19,8402,3628,289,3,7,296,7,3930,362,3086,129,22,3238,4,3607,15,221,96,0,317,0,325,4,16,3,9,27,0,32,379,3322,231,32,3584,4,3970,4,8,3,0,11,18,42,4016,3626,240,36,3894,32,7936,2081,159,0,3,163,4,2249,143,1503,78,7,1590,0,1731,5,130,61,0,191,3,199,0,11,0,8,17,0,25,150,1647,136,18,1801,4,1954,5,6,5,0,4,6,19,2232,1810,138,20,1969,14,4223,1296,75,3,0,77,3,1382,119,955,56,11,1027,0,1145,3,104,47,0,153,0,153,3,11,3,4,20,0,25,124,1066,110,17,1195,0,1319,0,7,0,0,7,12,18,1423,1153,108,17,1283,15,2723,1649,90,0,0
LGA11520,2049,237,0,0,241,0,2290,397,1674,56,4,1732,3,2136,6,147,72,0,219,0,222,3,5,0,8,10,0,14,404,1826,127,9,1969,3,2374,0,6,0,0,6,0,6,2451,2073,127,9,2210,3,4668,2003,215,0,0,215,0,2214,299,1115,33,3,1153,0,1446,4,81,47,0,127,0,131,0,5,3,4,11,0,15,303,1200,87,8,1287,0,1593,0,0,0,0,0,0,5,2304,1412,87,8,1503,0,3812,1046,83,0,0,85,0,1136,132,569,16,0,583,0,721,0,30,23,0,57,0,60,0,3,0,0,4,0,6,136,598,39,3,648,0,782,3,0,0,0,0,0,3,1187,685,44,3,730,0,1913,624,48,0,0,48,0,671,70,303,18,0,324,0,393,0,20,19,0,39,0,39,5,3,0,0,3,0,7,78,324,39,0,361,0,435,0,0,0,0,0,0,0,696,375,39,0,414,0,1108,756,44,0,0
LGA11570,3899,819,11,9,850,9,4753,820,10901,848,59,11805,11,12633,35,1604,837,14,2457,7,2503,8,49,5,25,84,3,94,859,12559,1691,103,14346,20,15228,11,27,7,6,39,43,93,4770,13402,1712,121,15235,68,20076,3956,700,20,6,726,7,4683,720,9813,799,59,10672,8,11399,33,1338,867,11,2212,0,2245,8,63,5,29,99,3,112,760,11205,1672,103,12982,16,13758,6,14,3,3,21,45,83,4727,11928,1694,108,13730,66,18526,2183,383,10,0,386,9,2580,371,4994,460,30,5486,4,5860,14,767,575,8,1348,3,1367,3,33,3,18,58,0,63,396,5797,1041,59,6891,12,7293,3,3,0,0,3,19,20,2586,6181,1046,57,7284,28,9898,1309,170,7,0,172,4,1486,203,2992,296,18,3306,4,3518,10,500,461,0,964,0,970,3,25,3,12,35,0,37,222,3517,763,28,4304,8,4533,3,4,0,0,5,16,19,1528,3688,765,28,4480,25,6038,1683,208,3,3
LGA11600,119,0,0,0,0,3,128,0,6,0,0,9,0,12,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,5,0,0,9,0,13,0,0,0,0,0,0,0,128,7,0,0,12,3,140,119,0,0,0,0,0,118,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,116,4,0,0,4,0,128,75,0,0,0,0,0,79,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,75,7,0,0,7,0,84,34,0,0,0,0,0,36,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,34,4,0,0,4,0,34,38,0,0,0
LGA11650,12169,368,0,4,370,25,12568,511,777,18,3,800,0,1317,10,74,36,0,106,0,117,0,0,0,0,3,0,8,526,858,54,3,911,0,1443,24,0,0,0,0,21,44,12720,1222,52,14,1289,48,14054,12786,313,3,0,317,14,13115,482,733,26,3,756,0,1243,16,58,28,0,81,0,94,11,4,0,0,9,0,14,506,794,51,4,851,0,1355,18,5,0,0,5,15,38,13303,1112,59,5,1169,32,14510,7382,155,9,0,160,14,7550,232,369,21,0,391,0,623,3,37,10,0,46,0,48,11,4,0,3,8,0,12,247,405,34,6,442,0,692,11,0,0,0,0,19,32,7638,559,37,6,604,32,8273,4651,105,0,0,104,4,4764,130,217,10,0,223,3,361,9,12,12,0,27,0,28,0,0,0,0,0,0,0,136,234,15,0,248,3,393,9,0,0,0,0,14,22,4797,334,19,3,358,23,5172,6083,111,5,0
LGA11700,68,0,0,0,0,0,69,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,69,4,0,0,6,0,73,48,3,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,53,3,0,0,3,0,58,11,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,14,0,0,0,0,0,19,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,23,7,0,0,0
LGA11720,2305,20,0,0,22,4,2328,30,38,0,0,38,0,62,0,3,3,0,3,0,9,0,0,0,0,0,0,0,33,36,3,0,41,0,69,0,0,0,0,0,4,7,2341,58,3,0,60,7,2408,2415,9,0,0,9,6,2428,33,26,0,0,26,3,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,0,0,25,3,67,0,0,0,0,0,7,9,2447,39,0,0,39,19,2504,1267,3,0,0,3,6,1274,10,32,0,0,32,0,34,3,0,0,0,0,0,4,0,0,0,0,0,0,0,7,32,0,0,32,0,40,0,0,0,0,0,10,10,1280,30,0,0,34,14,1328,844,3,0,0,3,0,849,3,5,0,0,12,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11,0,0,10,0,14,0,0,0,0,0,4,4,845,9,0,0,15,5,859,1055,9,0,0
LGA11730,1457,15,0,0,15,5,1478,44,32,3,0,37,0,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,46,35,3,0,40,0,85,3,0,0,0,0,3,9,1510,50,3,0,59,6,1576,1704,26,0,0,26,7,1732,40,41,3,0,40,0,82,0,3,0,0,4,0,3,0,0,0,0,0,0,0,45,39,0,0,47,0,88,3,0,0,0,0,3,6,1754,66,0,0,70,5,1827,1033,9,0,0,9,3,1047,17,19,3,0,19,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,3,0,19,0,36,0,0,0,0,0,8,8,1053,24,3,0,30,7,1088,642,9,0,0,9,0,654,4,7,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,12,3,0,0,0,0,3,3,650,14,0,0,14,3,672,936,4,0,0
LGA11750,227,0,0,0,0,0,224,7,18,0,0,18,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,21,0,24,0,0,0,0,0,0,0,230,26,0,0,26,0,252,233,0,0,0,0,0,232,0,22,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,31,0,32,0,0,0,0,0,0,0,230,27,0,0,26,0,262,108,0,0,0,0,0,108,0,5,0,0,5,0,5,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,108,7,0,0,7,0,112,61,0,0,0,0,0,61,0,6,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,67,3,0,0,3,0,68,86,0,0,0
LGA11800,2365,45,0,0,45,6,2413,84,269,15,0,288,0,370,0,25,51,0,72,0,75,0,0,0,3,7,0,6,90,294,65,4,363,0,453,3,3,0,0,3,11,15,2457,332,65,7,408,13,2883,2617,56,0,0,58,9,2676,87,231,12,0,247,0,331,3,23,39,0,61,0,64,0,0,0,3,4,0,3,91,258,53,4,315,0,405,4,0,0,0,0,3,11,2710,309,53,3,367,6,3089,1493,19,0,0,19,0,1513,41,107,7,0,120,0,157,0,14,20,0,29,0,29,0,0,0,4,5,0,5,41,120,27,4,153,0,193,3,0,0,0,0,3,4,1531,144,27,4,170,3,1709,946,15,0,0,15,3,961,31,59,3,0,57,0,90,0,8,22,0,30,0,30,0,0,0,0,0,0,0,31,69,22,0,85,0,116,0,0,0,0,0,0,4,979,80,22,0,103,6,1087,1210,8,0,0
LGA12000,175,0,0,0,0,0,175,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,4,0,173,3,0,0,3,4,180,184,0,0,0,0,3,185,3,0,0,0,0,0,3,0,4,0,0,4,0,4,0,0,0,0,0,0,0,3,3,0,0,3,0,5,0,0,0,0,0,0,0,186,5,0,0,5,3,191,128,0,0,0,0,0,125,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,3,132,4,0,0,4,0,137,84,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,4,0,0,4,0,91,108,0,0,0
LGA12150,124,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,131,125,0,0,0,0,4,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,4,128,67,0,0,0,0,0,67,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,71,4,0,0,4,0,76,42,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,42,44,0,0,0
LGA12350,427,0,0,0,0,0,429,3,13,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,13,0,19,7,0,0,0,0,0,4,439,12,0,0,12,0,451,442,9,0,0,9,0,454,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,12,0,0,0,0,0,0,0,444,14,0,0,15,0,464,306,4,0,0,4,0,314,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,311,8,0,0,8,0,318,181,0,0,0,0,0,181,7,4,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,9,0,0,0,0,0,0,0,185,3,0,0,3,0,186,191,0,0,0
