SED_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
SED10011,30715,..,..,..,..,30715,..,17,0,17,0,17,..,56,5,67,0,67,..,10,0,10,0,10,..,37,12,54,0,54,..,82,15,100,0,101,..,4,6,9,0,9,..,129,37,161,0,162,..,29,3,32,0,32,..,73,3,73,0,75,..,94,0,94,0,102,..,178,4,183,0,185,..,92,11,105,0,101,..,0,0,0,3,7,..,38,0,38,0,38,..,8,0,8,0,8,..,9,0,9,0,9,..,4,0,4,0,4,..,6,0,6,0,6,..,71,0,71,3,73,..,125,6,135,3,133,..,39,6,52,0,52,..,33,8,42,0,42,..,5,0,5,0,5,..,20,0,20,0,20,..,12,0,14,0,14,..,80,3,79,0,84,..,53,0,49,0,49,..,4,0,4,0,4,..,8,0,6,0,8,..,19,0,19,0,19,..,32,0,32,0,32,..,19,0,19,0,19,..,8
SED10012,9682,..,..,..,..,9682,..,0,0,0,0,0,..,1389,373,1765,14,1783,..,0,0,0,0,0,..,1415,820,2232,16,2248,..,673,502,1172,11,1184,..,562,224,785,8,794,..,2652,1538,4190,40,4227,..,442,124,567,3,571,..,6,0,6,0,6,..,49,6,59,0,57,..,34,0,38,0,35,..,154,35,187,0,185,..,8,0,8,0,8,..,240,15,253,3,255,..,37,0,37,0,37,..,4,0,4,0,9,..,55,3,52,0,53,..,38,6,46,0,43,..,388,23,409,6,416,..,678,115,792,16,805,..,18,3,19,0,19,..,5,11,19,0,19,..,220,40,254,7,260,..,75,5,75,0,79,..,51,26,83,0,83,..,109,17,129,0,129,..,55,33,87,0,87,..,409,50,457,4,467,..,829,261,1085,15,1099,..,91,4,99,0,97,..,63,0,64,0,63,..,204,11,209,7,219,..,55
SED10013,34539,..,..,..,..,34539,..,60,3,62,0,64,..,734,80,822,7,831,..,3,0,3,0,3,..,181,122,301,3,308,..,170,72,237,3,239,..,16,3,22,0,23,..,362,194,561,10,566,..,225,26,244,0,246,..,25,0,25,0,25,..,82,5,88,3,86,..,85,0,89,0,86,..,189,25,216,4,217,..,41,0,47,0,47,..,321,13,329,0,332,..,106,17,115,4,121,..,46,3,51,0,51,..,109,8,120,0,120,..,59,3,66,0,66,..,683,40,724,7,736,..,732,92,827,11,833,..,11,0,11,0,11,..,17,8,25,0,25,..,69,6,76,3,75,..,222,15,239,5,243,..,52,0,54,0,54,..,84,8,94,0,94,..,50,5,51,0,51,..,93,4,96,0,96,..,213,25,235,0,237,..,63,0,59,0,61,..,27,0,29,0,29,..,107,7,116,0,117,..,14
SED10014,27502,..,..,..,..,27502,..,44,0,44,0,44,..,1153,157,1314,4,1325,..,9,0,9,0,9,..,116,35,160,3,159,..,169,76,245,5,249,..,8,9,16,0,16,..,294,118,415,6,421,..,100,11,113,0,113,..,24,0,24,0,22,..,99,0,99,0,99,..,67,0,65,0,65,..,174,28,199,0,199,..,224,10,230,6,234,..,459,14,475,3,480,..,173,18,187,3,191,..,88,5,90,0,94,..,207,17,223,3,229,..,163,6,170,0,170,..,1311,67,1379,18,1397,..,159,17,169,5,177,..,12,0,15,0,13,..,12,18,30,0,30,..,62,5,71,0,69,..,43,3,50,0,50,..,55,11,65,0,64,..,116,9,124,0,131,..,67,12,85,0,85,..,685,64,756,20,779,..,63,18,82,0,80,..,188,5,194,0,201,..,115,9,119,0,121,..,357,11,366,0,366,..,56
SED10015,14826,..,..,..,..,14826,..,13,0,13,0,13,..,3157,367,3527,45,3567,..,9,0,9,0,9,..,1344,804,2153,13,2163,..,2100,1703,3803,21,3828,..,119,71,193,3,193,..,3571,2579,6146,38,6181,..,75,11,89,0,88,..,20,0,20,0,20,..,119,3,123,0,126,..,55,4,59,0,59,..,3945,850,4791,59,4848,..,674,41,719,3,721,..,351,8,360,4,369,..,224,20,244,3,244,..,31,0,31,0,31,..,355,14,368,9,378,..,1301,64,1360,8,1369,..,2945,144,3090,24,3114,..,989,152,1141,14,1156,..,64,15,80,0,80,..,583,393,973,9,984,..,113,23,137,3,136,..,25,5,33,0,33,..,48,6,51,3,57,..,34,6,40,0,40,..,44,5,47,0,47,..,56,4,57,0,57,..,67,14,80,0,80,..,191,5,205,0,205,..,458,58,520,4,526,..,350,7,363,3,362,..,24
SED10016,27135,..,..,..,..,27135,..,212,0,209,3,213,..,679,31,709,6,715,..,0,0,0,0,0,..,756,148,904,4,908,..,1390,479,1867,17,1882,..,83,12,97,0,97,..,2225,638,2863,16,2883,..,143,15,156,0,158,..,48,0,48,0,48,..,70,0,71,0,71,..,106,3,105,0,105,..,223,6,233,3,237,..,90,0,90,0,90,..,569,9,574,3,577,..,278,28,305,0,304,..,302,9,305,0,309,..,273,13,289,3,289,..,232,8,237,0,237,..,1743,61,1801,10,1815,..,443,25,471,3,471,..,33,0,34,0,34,..,545,160,702,6,708,..,12,0,11,0,11,..,124,11,132,0,128,..,507,49,557,6,559,..,112,10,119,0,119,..,84,9,90,0,91,..,3,0,3,0,3,..,66,8,72,0,72,..,244,4,245,0,245,..,188,13,197,0,197,..,326,6,332,0,329,..,19
SED10017,33752,..,..,..,..,33752,..,23,0,23,0,21,..,25,4,28,0,28,..,20,0,20,0,21,..,23,5,30,0,30,..,26,8,37,0,37,..,3,0,3,0,3,..,56,16,74,0,74,..,14,0,19,0,19,..,14,0,14,0,16,..,21,0,21,0,21,..,39,0,39,3,39,..,21,0,21,0,21,..,12,0,17,0,17,..,50,0,54,0,55,..,25,0,32,0,32,..,23,0,23,0,23,..,27,3,29,0,31,..,29,3,30,0,30,..,174,14,186,4,190,..,44,8,45,0,50,..,8,0,8,0,10,..,14,10,25,0,25,..,23,0,27,0,27,..,4,0,4,0,4,..,8,0,10,0,10,..,18,0,21,0,20,..,0,0,0,0,0,..,14,0,14,0,14,..,10,0,12,0,12,..,14,0,14,0,14,..,10,0,10,0,10,..,13,0,13,0,17,..,3
SED10018,31651,..,..,..,..,31651,..,27,0,27,0,27,..,30,0,31,0,30,..,4,0,4,0,4,..,70,29,98,0,101,..,74,20,103,0,103,..,5,3,11,0,11,..,150,56,209,0,208,..,22,4,23,0,23,..,32,0,32,0,30,..,50,0,50,0,50,..,98,3,105,0,103,..,106,6,113,0,114,..,7,0,7,0,7,..,46,0,46,0,52,..,29,5,30,0,30,..,12,0,11,0,11,..,13,3,15,0,15,..,28,0,28,0,28,..,141,7,150,0,146,..,139,21,159,3,166,..,27,0,33,0,33,..,24,13,39,0,42,..,201,21,223,3,228,..,4,0,4,0,4,..,8,3,8,0,8,..,37,0,37,0,37,..,17,0,23,0,23,..,24,3,27,3,27,..,26,8,34,0,35,..,19,0,19,0,19,..,22,3,20,0,20,..,29,0,24,0,29,..,11
SED10019,32870,..,..,..,..,32870,..,10,0,10,0,10,..,7,3,9,0,9,..,48,0,44,3,51,..,25,19,47,0,47,..,19,5,31,0,29,..,0,0,0,0,0,..,44,29,77,0,77,..,0,0,0,0,0,..,33,3,36,0,38,..,24,0,24,0,24,..,55,0,55,0,58,..,14,0,16,0,16,..,3,0,3,0,3,..,13,0,13,0,13,..,18,7,24,0,24,..,11,0,11,0,11,..,7,0,7,0,7,..,13,0,13,0,13,..,58,7,62,0,62,..,37,0,43,0,42,..,8,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,5,0,4,..,6,0,6,0,6,..,18,0,18,0,18,..,0
SED10020,30227,..,..,..,..,30227,..,32,0,32,0,32,..,68,11,78,0,78,..,29,0,29,0,29,..,30,23,46,3,52,..,54,40,94,3,96,..,13,3,20,0,20,..,91,72,158,6,166,..,9,0,9,0,9,..,42,0,42,0,42,..,67,3,69,0,66,..,139,4,140,6,141,..,27,3,31,0,32,..,8,10,20,0,20,..,35,3,37,0,37,..,557,99,658,14,666,..,3,0,3,0,3,..,13,3,12,0,12,..,19,0,20,0,20,..,636,114,745,14,761,..,95,7,106,0,106,..,36,8,46,0,46,..,14,12,27,0,27,..,0,0,0,0,0,..,9,0,9,0,14,..,15,3,21,0,21,..,20,0,20,0,20,..,14,0,19,0,19,..,5,0,5,0,5,..,9,0,9,0,9,..,11,0,11,0,11,..,18,0,18,0,18,..,22,0,24,0,28,..,14
SED10021,28118,..,..,..,..,28118,..,30,0,30,0,30,..,190,17,208,0,208,..,0,0,0,0,0,..,269,48,321,0,321,..,687,156,847,0,851,..,51,16,76,0,76,..,1017,227,1239,0,1239,..,53,5,55,0,55,..,86,7,91,0,92,..,623,24,641,3,644,..,326,11,335,9,338,..,526,44,565,0,572,..,32,3,36,0,36,..,99,3,102,0,106,..,30,3,27,0,34,..,31,0,31,0,31,..,30,0,30,0,30,..,56,4,60,3,61,..,281,5,290,5,294,..,478,40,519,5,521,..,138,18,148,0,148,..,71,18,93,0,93,..,12,0,11,0,11,..,26,0,29,0,31,..,54,7,60,0,60,..,122,9,126,0,130,..,458,98,555,0,561,..,3,0,3,0,3,..,50,4,56,0,56,..,50,0,55,0,55,..,109,7,120,0,121,..,80,4,86,5,86,..,74
SED10022,31278,..,..,..,..,31278,..,18,0,18,0,18,..,113,14,128,0,129,..,23,0,23,0,23,..,29,9,38,3,41,..,53,51,106,0,104,..,6,0,6,0,10,..,91,66,152,3,158,..,5,3,9,0,9,..,24,0,24,0,24,..,14,4,15,0,15,..,23,0,20,0,20,..,23,5,27,0,27,..,3,0,9,0,9,..,18,3,18,0,18,..,31,0,31,0,31,..,4,0,4,0,4,..,3,0,3,0,3,..,5,0,5,0,12,..,65,5,75,0,74,..,46,3,49,0,52,..,0,0,0,0,0,..,8,4,15,0,15,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,5,0,5,0,5,..,17,4,16,0,22,..,31,3,30,0,30,..,3,0,3,0,3,..,38,3,41,0,41,..,0
SED10023,31405,..,..,..,..,31405,..,19,0,23,0,23,..,110,10,123,4,126,..,3,0,3,0,3,..,127,31,163,3,162,..,188,61,255,0,252,..,10,4,10,0,10,..,330,93,429,4,431,..,64,4,67,0,69,..,46,3,50,0,50,..,83,8,90,0,90,..,122,7,137,3,133,..,433,35,467,3,474,..,7,0,7,0,7,..,27,0,27,0,27,..,24,0,23,0,23,..,8,0,8,0,8,..,3,0,3,0,3,..,37,0,32,0,32,..,97,0,103,0,103,..,242,21,267,7,274,..,35,3,39,0,39,..,26,6,31,0,31,..,66,8,70,0,70,..,25,0,25,0,25,..,20,0,21,0,21,..,74,3,71,0,71,..,109,14,124,3,127,..,3,0,3,0,4,..,43,4,46,0,49,..,11,0,15,0,15,..,45,3,43,0,43,..,51,3,55,0,57,..,3
SED10024,27499,..,..,..,..,27499,..,157,3,161,0,162,..,85,3,86,0,88,..,0,0,0,0,0,..,1537,216,1750,8,1762,..,1993,592,2582,17,2601,..,72,19,85,0,85,..,3599,825,4425,25,4447,..,68,3,74,0,74,..,99,3,103,3,100,..,208,12,217,0,218,..,223,4,227,3,231,..,152,15,162,0,162,..,34,0,39,0,39,..,178,3,185,0,182,..,71,0,74,0,69,..,45,0,45,0,45,..,39,0,46,0,46,..,84,3,88,0,93,..,455,12,465,4,472,..,217,9,229,3,230,..,269,39,304,0,308,..,462,128,582,0,585,..,20,0,23,0,23,..,4,0,4,0,4,..,285,29,318,13,329,..,44,3,52,0,52,..,97,3,98,0,98,..,4,0,4,0,4,..,34,0,40,0,35,..,29,3,34,0,32,..,100,3,100,0,101,..,52,0,49,0,49,..,12
SED10025,21749,..,..,..,..,21749,..,37,0,35,0,35,..,646,90,733,3,741,..,0,0,0,0,0,..,1165,226,1393,7,1400,..,2636,718,3350,18,3374,..,136,42,177,0,177,..,3931,985,4915,27,4944,..,114,10,116,0,116,..,35,3,38,0,38,..,130,6,143,0,139,..,115,3,115,0,115,..,763,122,890,3,888,..,49,0,49,0,49,..,379,8,387,0,387,..,49,7,47,0,47,..,35,0,35,0,35,..,66,3,71,0,71,..,169,9,180,0,180,..,742,26,769,0,768,..,2410,335,2744,32,2782,..,76,9,85,0,85,..,893,346,1241,23,1265,..,34,3,34,0,34,..,33,4,29,0,29,..,138,16,156,0,156,..,74,10,86,0,86,..,103,7,106,0,106,..,16,0,16,0,16,..,72,7,75,0,75,..,48,0,54,0,54,..,108,6,113,3,113,..,92,0,92,0,96,..,22
SED10026,32670,..,..,..,..,32670,..,35,0,35,0,35,..,57,3,60,0,60,..,23,0,22,0,22,..,29,23,57,0,57,..,65,18,88,0,87,..,3,0,4,0,4,..,102,44,148,0,148,..,7,0,7,0,7,..,8,0,11,0,11,..,18,3,22,0,25,..,42,0,41,0,41,..,33,0,39,0,39,..,41,0,43,0,43,..,40,3,45,0,47,..,52,5,58,0,58,..,43,0,43,0,43,..,33,9,37,0,37,..,157,9,159,0,159,..,366,19,383,3,386,..,35,3,43,0,45,..,10,0,13,0,13,..,19,11,31,0,31,..,7,0,7,0,7,..,14,0,14,0,14,..,19,0,20,0,20,..,11,0,11,0,11,..,7,0,7,0,7,..,5,0,7,0,7,..,6,0,3,0,3,..,18,3,22,0,22,..,13,0,13,0,13,..,52,3,49,0,51,..,8
SED10027,20527,..,..,..,..,20527,..,13,0,13,0,13,..,4027,473,4500,51,4548,..,0,0,0,0,0,..,864,336,1198,7,1206,..,818,406,1224,0,1226,..,54,11,68,0,68,..,1737,759,2493,9,2499,..,110,13,122,0,122,..,12,0,12,0,12,..,89,0,89,0,89,..,65,0,65,0,64,..,1237,170,1409,9,1417,..,91,0,94,0,94,..,207,8,217,0,217,..,164,21,186,0,185,..,29,0,30,0,30,..,158,10,165,0,168,..,220,8,230,0,230,..,882,42,922,3,923,..,409,44,454,6,466,..,37,9,47,0,49,..,82,39,121,0,123,..,558,69,626,3,630,..,52,9,57,0,59,..,28,6,36,0,36,..,75,9,78,3,84,..,47,3,52,0,52,..,104,12,114,0,112,..,66,7,70,0,70,..,75,0,76,0,77,..,188,35,220,0,220,..,155,3,158,0,158,..,19
SED10028,20345,..,..,..,..,20345,..,144,0,151,0,151,..,260,17,280,0,281,..,0,0,0,0,0,..,2939,496,3435,12,3449,..,3783,1099,4886,23,4910,..,197,37,234,0,236,..,6918,1629,8548,42,8592,..,43,6,47,0,48,..,49,0,49,0,49,..,100,6,104,0,105,..,72,3,75,0,75,..,123,10,135,0,139,..,143,5,146,0,146,..,877,18,894,4,903,..,167,6,169,0,169,..,455,7,463,0,460,..,218,3,225,3,226,..,342,12,345,0,346,..,2199,43,2246,14,2254,..,200,10,209,7,213,..,96,8,101,0,101,..,1495,483,1974,24,1998,..,3,0,3,0,3,..,3,0,3,0,3,..,322,42,358,3,363,..,62,5,66,0,74,..,125,5,129,0,129,..,3,0,5,0,5,..,40,4,49,0,49,..,77,3,84,0,84,..,207,12,221,3,224,..,118,3,116,0,116,..,21
SED10029,10457,..,..,..,..,10457,..,3,0,3,0,3,..,4310,1373,5686,65,5747,..,0,0,0,0,0,..,1108,544,1650,9,1660,..,645,513,1154,11,1163,..,411,161,577,0,573,..,2163,1223,3382,18,3404,..,263,69,333,0,334,..,17,0,18,0,18,..,51,0,49,0,49,..,56,0,59,0,59,..,155,25,187,3,185,..,44,5,49,0,49,..,254,12,266,4,270,..,50,9,58,0,58,..,15,5,13,0,13,..,102,17,117,0,117,..,78,4,89,0,85,..,540,49,588,10,593,..,497,101,594,10,605,..,9,4,12,0,17,..,15,9,30,0,30,..,127,38,163,8,167,..,133,4,137,3,144,..,187,116,306,3,310,..,91,13,103,0,106,..,36,14,48,0,46,..,303,46,345,16,360,..,429,126,552,6,560,..,102,4,107,0,107,..,72,9,76,4,82,..,245,8,250,3,257,..,35
SED10030,30618,..,..,..,..,30618,..,30,0,30,0,30,..,72,0,72,0,72,..,9,0,9,0,9,..,98,49,145,0,145,..,197,77,274,3,280,..,6,3,12,0,12,..,303,124,431,3,436,..,28,0,33,0,29,..,42,0,42,0,42,..,72,0,76,0,76,..,128,5,128,0,128,..,108,10,117,4,121,..,18,0,18,0,18,..,66,3,66,0,68,..,42,0,45,0,48,..,16,0,16,0,16,..,22,0,22,0,22,..,51,3,50,0,48,..,220,9,226,4,230,..,140,13,150,0,150,..,53,10,63,0,63,..,99,44,146,4,143,..,4,0,7,0,7,..,52,0,52,0,52,..,18,3,24,0,24,..,45,3,48,0,50,..,92,9,105,0,106,..,8,0,8,0,8,..,19,0,17,0,17,..,44,0,41,0,41,..,26,0,25,0,25,..,58,0,58,3,61,..,17
SED10031,33068,..,..,..,..,33068,..,33,0,31,0,31,..,59,7,70,0,70,..,6,0,6,0,8,..,41,24,68,0,70,..,74,45,124,4,130,..,11,16,21,0,21,..,129,83,210,8,215,..,52,3,52,5,52,..,46,0,46,0,46,..,45,0,50,0,50,..,106,0,109,3,112,..,74,5,83,0,85,..,17,4,22,0,21,..,36,3,40,0,40,..,21,0,28,0,28,..,11,0,11,0,12,..,11,0,11,0,11,..,58,0,66,0,66,..,154,9,169,3,169,..,99,6,108,8,109,..,8,4,6,0,8,..,12,27,38,0,38,..,19,0,19,0,24,..,14,0,14,0,14,..,12,0,16,0,16,..,29,0,35,3,31,..,11,0,7,0,7,..,7,0,6,0,6,..,18,4,23,0,25,..,20,0,24,0,24,..,17,0,17,0,17,..,26,0,26,0,26,..,3
SED10032,14375,..,..,..,..,14375,..,11,0,11,0,11,..,6883,1268,8152,72,8229,..,0,0,0,0,0,..,774,443,1221,4,1221,..,1076,901,1977,12,1989,..,95,49,140,0,140,..,1950,1391,3338,17,3353,..,283,54,338,0,340,..,3,0,3,0,6,..,86,6,90,3,91,..,37,0,34,0,40,..,318,56,374,7,379,..,294,20,319,0,315,..,1313,50,1360,7,1369,..,873,74,949,6,955,..,107,5,119,0,120,..,810,61,873,3,876,..,1815,131,1949,13,1965,..,5221,346,5566,34,5603,..,357,51,410,5,420,..,14,9,17,0,17,..,173,86,261,0,258,..,25,4,29,0,29,..,205,31,231,9,236,..,630,408,1038,8,1046,..,63,9,70,0,70,..,60,8,65,0,65,..,126,26,151,7,158,..,109,19,132,0,131,..,249,8,254,3,260,..,134,14,150,0,151,..,397,6,402,5,410,..,33
SED10033,32105,..,..,..,..,32105,..,44,0,44,0,44,..,197,19,223,0,220,..,5,0,5,0,7,..,83,44,126,0,126,..,81,33,110,4,114,..,9,0,5,0,5,..,162,78,246,4,244,..,77,4,84,0,80,..,49,0,49,0,49,..,46,0,48,0,48,..,105,3,112,0,109,..,76,9,89,0,88,..,11,0,11,0,11,..,38,0,34,3,43,..,25,0,25,0,25,..,3,0,6,0,6,..,30,0,30,0,30,..,7,0,7,0,7,..,112,3,116,3,117,..,246,15,261,3,270,..,9,0,10,0,13,..,27,10,38,0,38,..,74,6,81,0,85,..,337,23,359,0,363,..,23,4,29,0,29,..,30,3,29,0,29,..,12,0,12,0,12,..,24,0,25,0,25,..,33,0,33,0,36,..,22,0,24,0,24,..,5,0,5,0,5,..,29,0,29,0,29,..,5
SED10034,32837,..,..,..,..,32837,..,45,0,45,0,45,..,185,6,190,0,190,..,0,0,4,0,4,..,166,35,206,0,206,..,215,73,283,0,288,..,16,4,23,0,23,..,396,114,511,0,515,..,44,8,48,3,55,..,57,0,57,0,57,..,77,5,87,0,85,..,123,0,126,4,134,..,250,15,272,3,271,..,23,0,24,0,24,..,60,3,66,0,65,..,31,3,34,0,33,..,15,0,15,0,15,..,14,0,17,0,17,..,93,3,97,3,97,..,241,11,252,4,258,..,185,12,201,0,201,..,53,0,55,0,55,..,19,6,25,0,25,..,123,7,127,0,127,..,21,0,21,0,21,..,17,3,21,0,21,..,63,10,75,0,75,..,140,21,158,0,158,..,11,0,16,0,16,..,27,0,27,0,27,..,44,0,45,0,45,..,53,0,53,0,53,..,37,0,37,0,37,..,11
SED10035,26143,..,..,..,..,26143,..,39,0,39,0,39,..,599,63,665,0,668,..,17,0,17,0,17,..,1593,323,1913,6,1916,..,5368,1072,6445,42,6482,..,445,182,628,3,628,..,7408,1581,8987,44,9033,..,102,19,113,0,115,..,56,0,59,0,59,..,349,11,362,4,366,..,215,8,217,3,224,..,1333,295,1624,11,1635,..,659,34,698,4,702,..,310,3,312,3,311,..,47,0,47,0,48,..,76,0,76,0,76,..,157,7,162,0,164,..,185,6,194,0,198,..,1440,51,1491,13,1509,..,496,45,545,3,547,..,167,32,195,0,197,..,335,80,416,3,415,..,132,25,158,6,163,..,63,6,64,3,67,..,231,9,238,4,244,..,101,4,103,0,103,..,459,122,578,3,587,..,21,0,20,0,20,..,124,10,136,0,136,..,162,7,168,0,168,..,1385,126,1517,9,1524,..,229,6,236,4,243,..,188
